State of Residence,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,54.00,53.00,66.00,61.00,49.00,48.00,33.00,40.00,47.00,34.00
Arizona,16.00,,11.00,11.00,20.00,14.00,21.00,16.00,11.00,24.00
Arkansas,,,13.00,18.00,14.00,16.00,22.00,14.00,15.00,13.00
California,114.00,113.00,128.00,116.00,91.00,113.00,98.00,104.00,81.00,105.00
Colorado,17.00,12.00,,20.00,15.00,16.00,14.00,11.00,14.00,10.00
Connecticut,18.00,18.00,22.00,20.00,21.00,18.00,12.00,17.00,13.00,
Delaware,13.00,16.00,14.00,11.00,13.00,13.00,12.00,,11.00,
Florida,81.00,90.00,80.00,93.00,94.00,79.00,86.00,79.00,75.00,83.00
Georgia,25.00,21.00,21.00,17.00,11.00,16.00,12.00,21.00,13.00,15.00
Idaho,,,,10.00,,,10.00,,,
Illinois,31.00,22.00,21.00,24.00,23.00,25.00,24.00,30.00,19.00,28.00
Indiana,10.00,,17.00,12.00,11.00,,10.00,14.00,,10.00
Iowa,,,,,,,,10.00,,
Kansas,10.00,,,,,,12.00,,,
Kentucky,12.00,14.00,12.00,15.00,15.00,13.00,10.00,,11.00,12.00
Louisiana,31.00,37.00,37.00,27.00,33.00,19.00,21.00,28.00,21.00,33.00
Maine,12.00,18.00,10.00,18.00,18.00,16.00,21.00,11.00,17.00,17.00
Maryland,43.00,49.00,40.00,55.00,37.00,52.00,47.00,45.00,40.00,28.00
Massachusetts,34.00,34.00,35.00,42.00,36.00,30.00,35.00,48.00,29.00,36.00
Michigan,36.00,29.00,39.00,34.00,42.00,36.00,40.00,36.00,39.00,30.00
Minnesota,21.00,21.00,18.00,26.00,21.00,21.00,23.00,28.00,18.00,22.00
Mississippi,34.00,48.00,39.00,44.00,33.00,39.00,36.00,25.00,35.00,36.00
Missouri,18.00,17.00,11.00,12.00,11.00,10.00,,22.00,10.00,12.00
Montana,,14.00,18.00,18.00,16.00,17.00,23.00,15.00,24.00,31.00
New Hampshire,,,,,11.00,,,,,
New Jersey,96.00,84.00,73.00,68.00,75.00,69.00,69.00,75.00,55.00,57.00
New York,62.00,63.00,69.00,67.00,82.00,69.00,70.00,55.00,72.00,61.00
North Carolina,49.00,34.00,49.00,46.00,54.00,42.00,63.00,46.00,50.00,51.00
Ohio,56.00,64.00,58.00,47.00,61.00,65.00,76.00,41.00,56.00,55.00
Oklahoma,,,10.00,,10.00,21.00,11.00,,11.00,
Oregon,26.00,26.00,39.00,29.00,39.00,28.00,30.00,31.00,26.00,34.00
Pennsylvania,84.00,104.00,86.00,99.00,82.00,76.00,85.00,99.00,74.00,75.00
South Carolina,21.00,22.00,25.00,20.00,24.00,27.00,31.00,22.00,28.00,24.00
Tennessee,23.00,24.00,18.00,23.00,24.00,23.00,21.00,22.00,23.00,28.00
Texas,135.00,145.00,158.00,129.00,129.00,100.00,95.00,106.00,94.00,99.00
Utah,,12.00,,,,,13.00,,,
Virginia,59.00,59.00,58.00,46.00,41.00,39.00,42.00,41.00,48.00,43.00
Washington,70.00,70.00,67.00,68.00,63.00,49.00,81.00,64.00,68.00,77.00
West Virginia,35.00,26.00,26.00,25.00,28.00,27.00,16.00,25.00,29.00,27.00
Wisconsin,19.00,19.00,22.00,20.00,14.00,19.00,18.00,20.00,19.00,19.00
U.S. TOTAL,1454.00,1473.00,1471.00,1470.00,1423.00,1344.00,1401.00,1346.00,1262.00,1318.00