"State","averageRadonLevel"
"Alaska","10.7000"
"South Dakota","9.6000"
"Pennsylvania","8.6000"
"Ohio","7.8000"
"Washington","7.5000"
"Kentucky","7.4000"
"Montana","7.4000"
"Idaho","7.3000"
"Colorado","6.8000"
"Iowa","6.1000"
"West Virginia","6.1000"
"North Dakota","6"
"Maine","5.9000"
"Wisconsin","5.7000"
"New Hampshire","5.6000"
"Maryland","5.4000"
"Illinois","5.3000"
"Nebraska","5.2000"
"Wyoming","5"
"Kansas","4.9000"
"Tennessee","4.8000"
"Indiana","4.7000"
"Minnesota","4.6000"
"New Jersey","4.4000"
"Utah","4.4000"
"Missouri","4.3000"
"Rhode Island","4.3000"
"New York","4.2000"
"North Carolina","4"
"Alabama","3.9000"
"Massachusetts","3.9000"
"New Mexico","3.9000"
"Vermont","3.7000"
"Virginia","3.6000"
"Michigan","3.5000"
"Connecticut","3.4000"
"Nevada","3.4000"
"Oregon","3.1000"
"Arkansas","2.5000"
"Oklahoma","2.5000"
"Delaware","2.4000"
"South Carolina","2.4000"
"California","2.3000"
"Georgia","2.3000"
"Texas","2.1000"
"Arizona","1.9000"
"Florida","1.8000"
"Mississippi","1.2000"
"Louisiana","1.1000"
"Hawaii",""